ResponseId,OfficeStackSyncWantToWorkWith
1070,Microsoft Teams
1073,Slack
1074,Mattermost
1074,Microsoft Teams
1075,Microsoft Teams
1078,Microsoft Teams
1079,Mattermost
1081,Microsoft Teams
1082,Microsoft Teams
1083,Microsoft Teams
1084,Slack
1088,Slack
1089,Slack
1090,Microsoft Teams
1098,Slack
1099,Microsoft Teams
1100,Microsoft Teams
1100,Slack
1102,Slack
1102,Zoom
1103,Slack
1104,Slack
1104,Zoom
1105,Microsoft Teams
1105,Slack
1105,Zoom
1106,Zoom
1108,Microsoft Teams
1108,Slack
1110,Slack
1111,Google Chat
1111,Zoom
1112,Mattermost
1113,Mattermost
1113,Slack
1113,Zoom
1114,Mattermost
1114,Slack
1115,Slack
1115,Zoom
1116,Microsoft Teams
1118,Mattermost
1118,Microsoft Teams
1118,Zoom
1119,Google Chat
1119,Zoom
1123,Slack
1124,Microsoft Teams
1124,Slack
1126,Mattermost
1129,Slack
1129,Zoom
1130,Cisco Webex Teams
1130,Mattermost
1130,Microsoft Teams
1130,Zoom
1132,Microsoft Teams
1132,Zoom
1133,Rocketchat
1133,Zoom
1134,Slack
1134,Zoom
1135,Cisco Webex Teams
1137,Slack
1138,Slack
1139,Microsoft Teams
1139,Slack
1140,Google Chat
1140,Microsoft Teams
1143,Slack
1144,Microsoft Teams
1146,Google Chat
1146,Slack
1149,Slack
1149,Zoom
1150,Slack
1151,Slack
1151,Zoom
1152,Slack
1154,Microsoft Teams
1154,Slack
1156,Slack
1157,Slack
1158,Google Chat
1158,Zoom
1159,Slack
1162,Google Chat
1162,Slack
1163,Microsoft Teams
1163,Slack
1166,Google Chat
1167,Mattermost
1167,Zoom
1169,Slack
1170,Microsoft Teams
1170,Slack
1173,Mattermost
1174,Slack
1175,Slack
1176,Slack
1177,Slack
1178,Microsoft Teams
1179,Slack
1181,Slack
1182,Slack
1183,Slack
1183,Zoom
1184,Microsoft Teams
1185,Microsoft Teams
1185,Slack
1187,Microsoft Teams
1189,Slack
1189,Zoom
1190,Zoom
1191,Slack
1192,Microsoft Teams
1193,Slack
1193,Zoom
1195,Slack
1195,Zoom
1196,Slack
